,Company,Content,Date,LinkSrc,Title
0,이데일리,김용태 자유한국당 사무총장이 17일 오전 국회에서 서울시 산하 서울교통공사가 전·현직 자녀의 직원을 정규직 전환이 예정된 무기계 ,1분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004226527,"한국당 ""가족채용비리 국조하자""…서울교통공사 ""특혜 없다"""
1,연합뉴스,(서울=연합뉴스) 김주형 기자 = 유은혜 사회부총리 겸 교육부 장관(오른쪽)이 17일 오후 헌법재판관 김기영 이종석 이영진  ,1분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010406696,본회의 참석한 유은혜
2,연합뉴스,(서울=연합뉴스) 김주형 기자 = 유은혜 사회부총리 겸 교육부 장관(오른쪽)이 17일 오후 헌법재판관 김기영 이종석 이영진  ,1분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010406695,유은혜 '밝은표정'
3,뉴스1,(서울=뉴스1) 임세영 기자 = 홍영표 더불어민주당 원내대표가 17일 오후 서울 여의도 국회에서 열리는 본회의에 앞서 지상욱 바 ,1분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0003642464,이야기 나누는 홍영표·지상욱
4,뉴시스,【서울=뉴시스】박영태 기자 = 17일 오후 서울 영등포구 여의도 국회에서 진행된 제364회 국회(정기회) 제10차 본회의에서 홍 ,1분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008860116,이야기 나누는 홍영표-황주홍-지상욱
5,뉴시스,【서울=뉴시스】박영태 기자 = 17일 오후 서울 영등포구 여의도 국회에서 진행된 제364회 국회(정기회) 제10차 본회의에서 홍 ,1분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008860115,이야기 나누는 홍영표-정동영
6,뉴시스,【서울=뉴시스】박영태 기자 = 17일 오후 서울 영등포구 여의도 국회에서 진행된 제364회 국회(정기회) 제10차 본회의에서 홍 ,1분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008860114,이야기 나누는 서삼석-김현권-윤준호 의원
7,뉴시스,【서울=뉴시스】박영태 기자 = 17일 오후 서울 영등포구 여의도 국회에서 진행된 제364회 국회(정기회) 제10차 본회의에서 홍 ,1분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008860113,이야기 나누는 홍영표
8,매일경제,임종석 대통령 비서실장은 17일 오후 비무장지대(DMZ) 남북 공동유해발굴을 위한 지뢰 제거 작업이 진행 중인 강원도 철원 소재 ,1분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004236234,"임종석, 오늘 DMZ 남북 공동유해발굴 현장 방문"
9,아시아경제,[아시아경제 노태영 기자]정부는 지난달 말 인도네시아 지진과 쓰나미 피해 지원을 위해 파견된 우리 군 수송기 2대의 파견 기간을 ,2분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=277&aid=0004336106,"정부, 인도네시아 강진 지원 수송기 파견 연장"
10,뉴시스,【서울=뉴시스】박영태 기자 = 17일 오후 서울 영등포구 여의도 국회에서 진행된 제364회 국회(정기회) 제10차 본회의에서 유 ,3분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008860106,악수하는 유은혜-김상희
11,뉴시스,【서울=뉴시스】박영태 기자 = 17일 오후 서울 영등포구 여의도 국회에서 진행된 제364회 국회(정기회) 제10차 본회의에서 유 ,3분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008860104,의원들과 인사나누는 유은혜 사회부총리
12,뉴시스,【서울=뉴시스】박영태 기자 = 17일 오후 서울 영등포구 여의도 국회에서 진행된 제364회 국회(정기회) 제10차 본회의에서 유 ,3분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008860103,웃으며 인사 나누는 유은혜 사회부총리
13,뉴시스,【서울=뉴시스】박영태 기자 = 17일 오후 서울 영등포구 여의도 국회에서 진행된 제364회 국회(정기회) 제10차 본회의에서 유 ,3분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008860102,이야기 나누는 유은혜 사회부총리
14,뉴시스,【서울=뉴시스】박영태 기자 = 17일 오후 서울 영등포구 여의도 국회에서 진행된 제364회 국회(정기회) 제10차 본회의에서 홍 ,3분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008860101,"홍영표, 김수민 의원님 어제 한복은 최고였어요!"
15,중앙일보,서울시 산하 서울교통공사의 정규직 전환 과정에서 기존 직원의 친인척이 다수 포함돼 논란이 불거진 가운데 정규직 전환 업무를 총괄 ,3분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=025&aid=0002856909,한국당 “서울교통공사 인사처장 아내도 정규직 전환…명단서 삭제”
16,디지털타임스,최근 5년간 유원지 등에서 총 78건의 안전사고가 발생해 3명이 숨진 것으로 나타났다. 특히 사망자 3명은 모두 5세 이하 어린 ,5분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=029&aid=0002487445,5년간 유원지 안전사고로 3명 사망...모두 5세 이하 어린이
17,파이낸셜뉴스,더불어민주당 박용진 의원. 더불어민주당 박용진 의원은 17일 사립유치원의 횡령 등 비리를 폭로한데 이어 유치원과 교육청 사이의  ,5분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=014&aid=0004110110,"박용진 ""유치원과 교육청 유착의혹 및 어린이집 비리도 보겠다"""
18,연합뉴스,(서울=연합뉴스) 김주형 기자 = 유은혜 사회부총리 겸 교육부 장관(오른쪽)이 17일 오후 헌법재판관 김기영 이종석 이영진  ,5분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010406688,본회의 참석한 유은혜
19,KBS,조셉 윤 전 미국 국무부 대북정책특별대표는 17일 현재의 북한 비핵화 협상과 관련 정상들이 지나치게 앞서 나가는 것은 아닌지 ,5분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=056&aid=0010630371,죠셉 윤 美 전 북핵협상대표 “정상들 지나치게 앞서지 말고 기초 다져야”
